Month,Judet Destinatar OPS,Categorie Cerc Livrare,Localitate Destinatar,Tip Trimitere,Colet eligibil locker,Nr Total AWB
01,Bacau,Cerc 1,Balaneasa,Negre,Da,1
01,Olt,Cerc 1,Balanesti,Negre,Da,10
01,Neamt,Cerc 1,Balanesti,Negre,Da,4
01,Gorj,Cerc 1,Balanesti,Negre,Da,3
01,Bacau,Cerc 3,Balanesti,Negre,Da,2
01,Buzau,Cerc 3,Balanesti,Negre,Da,2
01,Dambovita,Cerc 1,Balanesti,Negre,Da,1
01,Gorj,Cerc 1,Balani,Negre,Da,1
01,Giurgiu,Cerc 1,Balanu,Negre,Da,2
01,Galati,Cerc 1,Balasesti,Negre,Da,6
01,Nógrád,Resedinta,Balassagyarmat,Negre,Da,20
