Judet,Localitate,Populatie 
BUZAU,PO?TA CÂLNAU,5542
BUZAU,PUIE?TI,3371
BUZAU,RACOVI?ENI,1192
BUZAU,RÂMNICELU,4726
BUZAU,ROBEASCA,936
BUZAU,RU?E?U,3173
BUZAU,SAGEATA,4069
BUZAU,SAHATENI,2835
BUZAU,SAPOCA,3391
BUZAU,SARULE?TI,1068
BUZAU,SCOR?OASA,2452
BUZAU,SCUTELNICI,1979
BUZAU,SIRIU,3063
BUZAU,SMEENI,5806
BUZAU,STÂLPU,3033
BUZAU,?INTE?TI,4197
BUZAU,TISAU,4314
BUZAU,TOPLICENI,3987
BUZAU,ULMENI,3146
BUZAU,UNGURIU,1969
BUZAU,VADU PA?II,9726
BUZAU,VÂLCELELE,1372
BUZAU,VALEA RÂMNICULUI,5180
BUZAU,VALEA SALCIEI,529
BUZAU,VERNE?TI,9008
BUZAU,VINTILA VODA,2540
BUZAU,VIPERE?TI,3242
BUZAU,ZARNE?TI,4676
